Campaign,UnitID,Visitnr,SampleID,SiteID,Adm,Date,Type,Ware,Number,Weight,Fragment,Form,Fabric,Colour,Era,Period,Diameter,Inclusions,Decoration,Thickness,Parallel,Remarks
SLP-2005,2002,1,1,,ET,2-11-2005 00:00:00,VAR,-0,1,15,,,,,Classic,,,,,,,"light grey, very coarse fabric, rectangular form that does not seem ceramic but architectural"
SLP-2004,419,1,1,,TS,,STO,-0,1,,,,,,Classic- Medieval,H-M,,,,,,FLINT
SLP-2004,424,2,1,,JP,,STO,-0,1,,,,,,Classic- Medieval,H-LR,,,,,,mill stone
SLP-2004,516,1,1,,TS,,GLA,-0,1,,,,,,Medieval- Subrecent,M-SR,,,,,,DS
SLP-2005,2381,1,1,,ML,16-11-2005 00:00:00,STO,-0,1,,,,,,Not recorded,,,,,,,ds
SLP-2005,2384,1,1,,ET,17-11-2005 00:00:00,STO,-0,1,,,,,,Not recorded,,,,,,,ds.
SLP-2005,2479,1,1,,ML,21-11-2005 00:00:00,STO,-0,1,10,,,,,Not recorded,,,,,,,"just a stone, perhaps seen as ceramics by mistake? Ds"
SLP-2005,3133,1,1,,ML,23-11-2005 00:00:00,STO,-0,4,65,,,,,Not recorded,,,,,,,normal stones with rounded shape.
SLP-2005,2485,1,1,,ML,21-11-2005 00:00:00,STO,-0,1,60,,,,,Not recorded,,,,,,,"probably mistakenly taken as a ceramic sherd, ds."
SLP-2005,3131,1,1,,ML,25-11-2005 00:00:00,STO,-0,1,,,,,,Not recorded,,,,,,,"round black stone with parallel incised lines, not sure if it is natural or intentional."
SLP-2005,3079,1,1,,ML,22-11-2005 00:00:00,STO,-0,1,,,,,,Not recorded,,,,,,,"small piece of flintstone, deep red, no tool!"
SLP-2005,3520,1,1,,ML,22-11-2005 00:00:00,STO,-0,2,205,,,,,Not recorded,,,,,,,"TWO ORDINARY STONES, DS."
SLP-2005,2015,1,1,,ET,2-11-2005 00:00:00,STO,-0,1,,,,,light brown,Not recorded,,,,,,,worked flint
SLP-2005,2489,1,1,,ML,21-11-2005 00:00:00,STO,-0,2,50,,,,,Not recorded,,,,,,,
SLP-2005,246,3,1,,ET/TS,11-11-2005 00:00:00,VAR,-0,1,75,,,,,Not recorded,un,,,,,,? Heavy black object with incrustation.
SLP-2005,246,3,1,,ET/TS,11-11-2005 00:00:00,VAR,-0,1,140,,,,,Not recorded,un,,,,,,poss. Slinging stone…
SLP-2004,419,1,1,,MR,,STO,-0,1,,,,,,Prehistoric,PAL-NEO,,,,,,FLINT
SLP-2005,2012,1,1,,TS,3-11-2005 00:00:00,STO,-0,1,20,,,,,Prehistoric,,,,,,,flint
SLP-2004,219,1,1,,MR,,STO,-0,1,,,,,,Prehistoric,PAL-NEO,,,,,,flint (little knife)
SLP-2004,706,1,1,,V.D.O,,STO,-0,1,,,,,,Prehistoric,PALEO-IA,,,,,,"Flint rossa: grappatoio?, spezzato?"
SLP-2005,2460,2,1,,ET,22-11-2005 00:00:00,STO,-0,1,250,,,,,Prehistoric,IA,,,yes,,,"sandstone?, incised decoration two concentric circles with point in the middle, circles linked together by broad line, seems part of repetitive ornament (of stela?)"
SLP-2004,219,1,1,,MR,,STO,-0,1,,,,,,Prehistoric,PAL-NEO,,,,,,SP (UNI)
