Campaign,UnitID,SiteID,Type,Ware,Number,Weight,Era,Period,low,high
SLP-2005,2067,,CER,AU,1,80,Classic,H,-350,-50
SLP-2005,258,G4,CER,BG,1,5,Classic,H,-350,-50
SLP-2004,343,s,CER,BG,2,,Classic,H,-350,-50
SLP-2004,580,,CER,BG,1,,Classic,H,-350,-50
SLP-2004,195,,CER,BG,1,,Classic,H,-350,-50
SLP-2004,196,,CER,BG,1,,Classic,H,-350,-50
SLP-2004,424,,CER,BG,3,,Classic,H,-350,-50
SLP-2004,195,,CER,BG,1,,Classic,H,-350,-50
SLP-2004,245,,CER,BG,1,,Classic,H,-350,-50
SLP-2004,279,,CER,BG,1,,Classic,H,-350,-50
SLP-2004,346,,CER,BG,1,,Classic,H,-350,-50
SLP-2004,344,,CER,BG,1,,Classic,H,-350,-50
SLP-2004,193,,CER,BG,3,,Classic,H,-350,-50
SLP-2004,172,,CER,BG,4,,Classic,H,-350,-50
SLP-2004,184,,CER,BG,1,,Classic,H,-350,-50
SLP-2004,190,,CER,BG,2,,Classic,H,-350,-50
SLP-2004,174,,CER,BG,1,,Unidentified,H,-350,-50
SLP-2005,2341,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,2179,,CER,BG,1,10,Classic,H,-350,-50
SLP-2005,2383,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2369,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,3537,,CER,BG,1,3,Classic,H,-350,-50
SLP-2005,2388,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,608,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2010,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,2385,,CER,BG,1,20,Classic,H,-350,-50
SLP-2005,2342,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2002,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2388,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2006,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,2458,,CER,BG,1,2,Classic,H,-350,-50
SLP-2005,2464,,CER,BG,2,95,Classic,H,-350,-50
SLP-2005,2309,,CER,BG,1,20,Classic,H,-350,-50
SLP-2005,2382,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2388,,CER,BG,1,30,Classic,H,-350,-50
SLP-2005,2388,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2458,,CER,BG,1,2,Classic,H,-350,-50
SLP-2005,2309,,CER,BG,2,30,Classic,H,-350,-50
SLP-2005,3042,,CER,BG,2,1,Classic,H,-350,-50
SLP-2005,2447,,CER,BG,3,15,Classic,H,-350,-50
SLP-2005,2006,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,2382,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,2006,,CER,BG,1,,Classic,H,-350,-50
SLP-2005,2295,,CER,BG,1,20,Classic,H,-350,-50
SLP-2005,2384,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2702,,CER,BG,1,2,Classic,H,-350,-50
SLP-2005,2014,,CER,BG,1,,Classic,H,-350,-50
SLP-2005,2309,,CER,BG,3,10,Classic,H,-350,-50
SLP-2005,2080,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,2392,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2297,,CER,BG,1,4,Classic,H,-350,-50
SLP-2005,3042,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2387,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2310,,CER,BG,1,10,Classic,H,-350,-50
SLP-2005,2461,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,2475,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,243,,CER,BG,1,2,Classic,H,-350,-50
SLP-2005,3545,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2031,,CER,BG,1,,Classic,H,-350,-50
SLP-2005,258,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2388,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,2469,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,244,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,3519,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,3229,,CER,BG,1,15,Classic,H,-350,-50
SLP-2005,3547,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,246,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2298,,CER,BG,1,3,Classic,H,-350,-50
SLP-2005,243,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,246,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,3240,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,3536,,CER,BG,1,2,Classic,H,-350,-50
SLP-2005,3558,,CER,BG,1,2,Classic,H,-350,-50
SLP-2005,3204,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,3593,,CER,BG,3,35,Classic,H,-350,-50
SLP-2005,2343,,CER,BG,1,3,Classic,H,-350,-50
SLP-2005,2040,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2291,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2297,,CER,BG,1,2,Classic,H,-350,-50
SLP-2005,3044,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,2000,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,3043,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,244,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2310,,CER,BG,1,10,Classic,H,-350,-50
SLP-2005,3039,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,243,,CER,BG,1,2,Classic,H,-350,-50
SLP-2005,246,,CER,BG,1,2,Classic,H,-350,-50
SLP-2005,2310,,CER,BG,1,3,Classic,H,-350,-50
SLP-2005,2310,,CER,BG,1,20,Classic,H,-350,-50
SLP-2005,2460,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,244,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,2080,,CER,BG,2,5,Classic,H,-350,-50
SLP-2005,2399,,CER,BG,1,3,Classic,H,-350,-50
SLP-2005,2414,,CER,BG,1,15,Classic,H,-350,-50
SLP-2005,2464,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,2055,,CER,BG,1,30,Classic,H,-350,-50
SLP-2005,2296,,CER,BG,1,3,Classic,H,-350,-50
SLP-2005,2382,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,3241,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2342,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,3038,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,3038,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,3187,,CER,BG,1,5,Classic,H,-350,-50
SLP-2005,2010,,CER,BG,1,1,Classic,H,-350,-50
SLP-2005,258,,CER,BG,2,5,Classic,H,-350,-50
SLP-2005,2310,,CER,BG,1,5,Not recorded,H,-350,-50
SLP-2005,3550,,CER,BG,1,3,Not recorded,H,-350,-50
SLP-2005,2310,,CER,BG,1,25,Not recorded,H,-350,-50
SLP-2004,1191,,CER,BG,1,,Classic,H,-350,-50
SLP-2004,190,,CER,CC,1,,Classic,H,-350,-50
SLP-2004,43,,CER,CW,3,,Classic,H,-350,-50
SLP-2005,2089,,CER,CW1,1,5,Classic,H,-350,-50
SLP-2005,3207,,CER,CW1,1,10,Classic,H,-350,-50
SLP-2005,2383,,CER,CW1,1,1,Classic,H,-350,-50
SLP-2005,2383,,CER,CW1,4,30,Classic,H,-350,-50
SLP-2005,2384,,CER,CW1,3,30,Classic,H,-350,-50
SLP-2005,2385,,CER,CW1,2,70,Classic,H,-350,-50
SLP-2005,2301,,CER,CW1,5,5,Classic,H,-350,-50
SLP-2005,2300,,CER,CW1,2,5,Classic,H,-350,-50
SLP-2005,2402,,CER,CW1,1,1,Classic,H,-350,-50
SLP-2005,2380,,CER,CW1,2,45,Classic,H,-350,-50
SLP-2005,2498,,CER,CW1,2,5,Classic,H,-350,-50
SLP-2005,3204,,CER,CW1,4,15,Classic,H,-350,-50
SLP-2005,3155,,CER,CW1,6,20,Classic,H,-350,-50
SLP-2005,2382,,CER,CW1,2,2,Classic,H,-350,-50
SLP-2005,2045,,CER,CW1,2,2,Classic,H,-350,-50
SLP-2005,2388,,CER,CW1,6,35,Classic,H,-350,-50
SLP-2005,2382,,CER,CW1,2,25,Classic,H,-350,-50
SLP-2005,2483,,CER,CW1,4,15,Classic,H,-350,-50
SLP-2005,2472,,CER,CW1,7,40,Classic,H,-350,-50
SLP-2005,2382,,CER,CW1,1,10,Classic,H,-350,-50
SLP-2005,258,,CER,CW1,1,1,Classic,H,-350,-50
SLP-2005,2382,,CER,CW1,1,1,Classic,H,-350,-50
SLP-2005,2446,,CER,CW1,1,5,Classic,H,-350,-50
SLP-2005,2388,,CER,CW1,1,75,Classic,H,-350,-50
SLP-2005,2461,,CER,CW1,1,5,Classic,H,-350,-50
SLP-2005,2471,,CER,CW1,2,30,Classic,H,-350,-50
SLP-2005,3144,,CER,CW1,8,30,Classic,H,-350,-50
SLP-2005,3502,,CER,CW1,1,1,Classic,H,-350,-50
SLP-2005,2481,,CER,CW1,3,25,Classic,H,-350,-50
SLP-2005,2029,,CER,CW1,1,5,Classic,H,-350,-50
SLP-2005,2389,,CER,CW1,4,10,Classic,H,-350,-50
SLP-2005,2401,,CER,CW1,1,5,Classic,H,-350,-50
SLP-2005,2460,,CER,CW1,5,25,Classic,H,-350,-50
SLP-2005,3203,,CER,CW1,1,10,Classic,H,-350,-50
SLP-2005,3035,,CER,CW1,1,5,Classic,H,-350,-50
SLP-2005,2010,,CER,CW1,1,"5
5",Classic,H,-350,-50
SLP-2005,3118,,CER,CW1,1,5,Classic,H,-350,-50
SLP-2005,3211,,CER,CW1,1,5,Classic,H,-350,-50
SLP-2005,2055,,CER,CW1,1,5,Classic,H,-350,-50
SLP-2005,2382,,CER,CW1,1,5,Classic,H,-350,-50
SLP-2005,2010,,CER,CW1,4,25,Classic,H,-350,-50
SLP-2005,2019,,CER,CW1,2,"10
10",Classic,H,-350,-50
SLP-2005,2097,,CER,CW1,1,1,Classic,H,-350,-50
SLP-2005,2119,,CER,CW1,1,1,Classic,H,-350,-50
SLP-2005,2191,,CER,CW1,1,1,Classic,H,-350,-50
SLP-2005,2290,,CER,CW1,1,1,Classic,H,-350,-50
SLP-2005,2342,,CER,CW1,1,15,Classic,H,-350,-50
SLP-2005,3038,,CER,CW1,1,1,Classic,H,-350,-50
SLP-2005,3130,,CER,CW1,1,1,Classic,H,-350,-50
SLP-2005,3142,,CER,CW1,4,10,Classic,H,-350,-50
SLP-2005,3214,,CER,CW1,2,5,Classic,H,-350,-50
SLP-2005,2083,,CER,CW1,2,10,Classic,H,-350,-50
SLP-2005,2379,,CER,CW1,1,5,Classic,H,-350,-50
SLP-2005,3112,,CER,CW1,1,5,Classic,H,-350,-50
SLP-2005,2171,,CER,CW1,1,1,Classic,H,-350,-50
SLP-2005,3204,,CER,CW1,3,20,Classic,H,-350,-50
SLP-2005,3075,,CER,CW1,2,10,Classic,H,-350,-50
SLP-2005,2402,,CER,CW1,3,10,Classic,H,-350,-50
SLP-2005,2398,,CER,CW1,2,10,Classic,H,-350,-50
SLP-2005,2445,,CER,CW1,1,10,Classic,H,-350,-50
SLP-2005,2470,,CER,CW1,1,15,Classic,H,-350,-50
