Period,low,high,Number
PAL-NEO,-10000,-3000,1
PAL-NEO,-10000,-3000,1
PAL-NEO,-10000,-3000,1
PAL-PP,-10000,-350,1
PAL-PP,-10000,-350,2
PAL-PP,-10000,-350,1
NEO,-7000,-3000,1
NEO-H,-7000,-50,1
NEO-PP2,-7000,-800,1
PP,-3000,-350,1
PP,-3000,-350,4
PP,-3000,-350,1
PP,-3000,-350,1
PP,-3000,-350,1
PP1,-3000,-1300,7
PP1,-3000,-1300,1
PP1,-3000,-1300,23
PP1,-3000,-1300,24
PP1,-3000,-1300,1
PP1,-3000,-1300,1
PP1-H,-3000,-50,2
PP1-H,-3000,-50,1
PP1-H,-3000,-50,1
PP1-H,-3000,-50,1
PP1-H,-3000,-50,8
PP1-H,-3000,-50,2
PP1-H,-3000,-50,2
PP1-H,-3000,-50,1
PP1-H,-3000,-50,1
PP1-H,-3000,-50,11
PP1-H,-3000,-50,2
PP1-H,-3000,-50,2
PP1-H,-3000,-50,3
PP1-H,-3000,-50,6
PP1-H,-3000,-50,9
PP1-H,-3000,-50,6
PP1-H,-3000,-50,4
PP1-H,-3000,-50,1
PP1-H,-3000,-50,2
PP1-H,-3000,-50,8
PP1-H,-3000,-50,1
PP1-H,-3000,-50,1
PP1-H,-3000,-50,3
PP1-H,-3000,-50,1
PP1-H,-3000,-50,1
PP1-H,-3000,-50,17
PP1-H,-3000,-50,3
PP1-H,-3000,-50,2
PP1-H,-3000,-50,3
PP1-H,-3000,-50,1
PP1-H,-3000,-50,1
PP1-H,-3000,-50,2
PP1-H,-3000,-50,6
PP1-H,-3000,-50,4
PP1-H,-3000,-50,1
PP1-H,-3000,-50,1
PP1-PP2,-3000,-800,6
PP1-PP2,-3000,-800,1
PP1-PP2,-3000,-800,2
PP1-PP2,-3000,-800,8
PP1-PP2,-3000,-800,1
PP1-PP2,-3000,-800,4
PP1-PP2,-3000,-800,3
PP1-PP2,-3000,-800,1
PP1-PP2,-3000,-800,2
PP1-PP2,-3000,-800,1
PP1-PP2,-3000,-800,1
PP,-3000,-350,1
PP,-3000,-350,2
PP,-3000,-350,1
PP1-R,-3000,500,15
PP1-R,-3000,500,1
PP1-R,-3000,500,5
PP1-R,-3000,500,9
PP1-R,-3000,500,1
PP1-R,-3000,500,5
PP1-R,-3000,500,5
