Campaign,Type,Ware,Number
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,GLA,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,CER,-0,3
SLP-2004,MET,-0,1
SLP-2004,MET,-0,1
SLP-2004,GLA,-0,3
SLP-2004,GLA,-0,1
SLP-2004,MET,-0,1
SLP-2004,MET,-0,1
SLP-2004,MET,-0,1
SLP-2004,MET,-0,1
SLP-2004,MET,-0,1
SLP-2004,MET,-0,1
SLP-2004,SHE,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,STO,-0,1
SLP-2004,CER,ARCH,2
SLP-2004,CER,ARCH,1
SLP-2004,CER,ARCH,2
SLP-2004,CER,ARCH,1
SLP-2004,CER,ARCH,1
SLP-2004,CER,ARCH,1
SLP-2004,CER,ARCH,1
SLP-2004,CER,ARCH,1
SLP-2004,CER,ARCH,1
SLP-2004,CER,ARCH,1
SLP-2004,CER,ARS,1
SLP-2004,CER,ARS,1
SLP-2004,CER,ARS,1
SLP-2004,CER,ARS,1
SLP-2004,CER,ARS,1
SLP-2004,CER,ARS,1
SLP-2004,CER,ARS,2
SLP-2004,CER,ARS,8
SLP-2004,CER,ARS,1
SLP-2004,CER,ARS,1
SLP-2004,CER,ARS,2
SLP-2004,CER,ARS,3
SLP-2004,CER,ARS,1
SLP-2004,CER,ARS,1
SLP-2004,CER,ARS,1
SLP-2004,CER,ARS,1
SLP-2004,CER,ARS,4
SLP-2004,CER,ARS,1
SLP-2004,CER,ARS,1
SLP-2004,CER,ARS,1
SLP-2004,CER,ARS,1
SLP-2004,CER,ARS,2
SLP-2004,CER,ARS,1
SLP-2004,CER,ARS,1
SLP-2004,CER,AU,1
SLP-2004,CER,AU,1
SLP-2004,CER,AU,1
SLP-2004,CER,AU,1
SLP-2004,CER,AU,1
SLP-2004,CER,AU,1
SLP-2004,CER,AU,1
SLP-2004,CER,BACINO,1
SLP-2004,CER,BACINO,1
SLP-2004,CER,BACINO,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,2
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,2
SLP-2004,CER,BG,3
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,1
SLP-2004,CER,BG,3
SLP-2004,CER,BG,4
SLP-2004,CER,BG,1
SLP-2004,CER,BG,2
SLP-2004,CER,BG,2
SLP-2004,CER,BG,2
SLP-2004,CER,BG,2
SLP-2004,CER,BG,2
