Campaign,Type,Ware,Number
SLP-2008,CER,BT,3
SLP-2008,CER,BT,16
SLP-2008,CER,CW,11
SLP-2008,CER,CW,1
SLP-2008,CER,CW,4
SLP-2008,CER,CW,7
SLP-2008,CER,CW,3
SLP-2008,CER,CW,9
SLP-2008,CER,CW,30
SLP-2008,CER,CW,8
SLP-2008,CER,CW,5
SLP-2008,CER,CW,3
SLP-2008,CER,CW,26
SLP-2008,CER,CW,1
SLP-2008,CER,CW,2
SLP-2008,CER,CW,1
SLP-2008,CER,CW,1
SLP-2008,CER,CW,1
SLP-2008,CER,CW,1
SLP-2008,CER,CW,1
SLP-2008,CER,CW,1
SLP-2008,CER,DO,1
SLP-2008,CER,GL,8
SLP-2008,CER,GL,14
SLP-2008,CER,IMB,3
SLP-2008,CER,PW,1
SLP-2008,CER,PW,1
SLP-2008,CER,PW,1
SLP-2008,CER,PW,1
SLP-2008,CER,RBT,5
SLP-2008,CER,RBT,6
SLP-2008,CER,RBT,16
SLP-2008,CER,TIL,1
SLP-2008,CER,TIL,2
SLP-2008,CER,TIL,1
SLP-2008,CER,TIL,3
SLP-2008,CER,TIL,3
SLP-2008,CER,UN,65
SLP-2008,CER,UN,2
SLP-2008,CER,UN,1
SLP-2008,CER,UN,5
SLP-2008,CER,UN,15
SLP-2008,CER,UN,50
SLP-2008,CER,UN,42
